stem,class,split,path,n_boxes
crazing_101,crazing,test,C:\Users\anmol\OneDrive\Desktop\MobileNetV2\NEU-DET\IMAGES\crazing\crazing_101.jpg,1
crazing_109,crazing,test,C:\Users\anmol\OneDrive\Desktop\MobileNetV2\NEU-DET\IMAGES\crazing\crazing_109.jpg,3
crazing_11,crazing,test,C:\Users\anmol\OneDrive\Desktop\MobileNetV2\NEU-DET\IMAGES\crazing\crazing_11.jpg,3
crazing_110,crazing,test,C:\Users\anmol\OneDrive\Desktop\MobileNetV2\NEU-DET\IMAGES\crazing\crazing_110.jpg,2
crazing_112,crazing,test,C:\Users\anmol\OneDrive\Desktop\MobileNetV2\NEU-DET\IMAGES\crazing\crazing_112.jpg,3
crazing_113,crazing,test,C:\Users\anmol\OneDrive\Desktop\MobileNetV2\NEU-DET\IMAGES\crazing\crazing_113.jpg,2
crazing_114,crazing,test,C:\Users\anmol\OneDrive\Desktop\MobileNetV2\NEU-DET\IMAGES\crazing\crazing_114.jpg,3
crazing_117,crazing,test,C:\Users\anmol\OneDrive\Desktop\MobileNetV2\NEU-DET\IMAGES\crazing\crazing_117.jpg,2
crazing_119,crazing,test,C:\Users\anmol\OneDrive\Desktop\MobileNetV2\NEU-DET\IMAGES\crazing\crazing_119.jpg,4
crazing_121,crazing,test,C:\Users\anmol\OneDrive\Desktop\MobileNetV2\NEU-DET\IMAGES\crazing\crazing_121.jpg,2
crazing_135,crazing,test,C:\Users\anmol\OneDrive\Desktop\MobileNetV2\NEU-DET\IMAGES\crazing\crazing_135.jpg,2
crazing_139,crazing,test,C:\Users\anmol\OneDrive\Desktop\MobileNetV2\NEU-DET\IMAGES\crazing\crazing_139.jpg,2
crazing_141,crazing,test,C:\Users\anmol\OneDrive\Desktop\MobileNetV2\NEU-DET\IMAGES\crazing\crazing_141.jpg,2
crazing_143,crazing,test,C:\Users\anmol\OneDrive\Desktop\MobileNetV2\NEU-DET\IMAGES\crazing\crazing_143.jpg,2
crazing_146,crazing,test,C:\Users\anmol\OneDrive\Desktop\MobileNetV2\NEU-DET\IMAGES\crazing\crazing_146.jpg,1
crazing_150,crazing,test,C:\Users\anmol\OneDrive\Desktop\MobileNetV2\NEU-DET\IMAGES\crazing\crazing_150.jpg,1
crazing_151,crazing,test,C:\Users\anmol\OneDrive\Desktop\MobileNetV2\NEU-DET\IMAGES\crazing\crazing_151.jpg,1
