Study,Variant,Accuracy,F1_macro,Params,AP50,AP75,mAP50_95,FPN,AMFF,CSAF,SEAM,Fusion,Rates,Branches,Dilated,Mode,FusionMode
A: modules,Baseline (MobileNetV2),98.61111111111111,98.61043558818686,2423110,7.595139001079593,2.6863850894196992,3.4457380121533836,N,N,N,N,,,,,,
A: modules,+ FPN,98.88888888888889,98.88873452502239,3196102,3.93802625689036,0.9000900090009001,1.4838105862495,Y,N,N,N,,,,,,
A: modules,+ FPN + AMFF,99.16666666666667,99.16886684222531,3358111,10.068665378968984,4.090509246321941,4.900389202265522,Y,Y,N,N,,,,,,
A: modules,+ FPN + CSAF,97.77777777777777,97.7540889680405,3196678,8.945859494655705,2.6521178204444844,3.639326932159869,Y,N,Y,N,,,,,,
A: modules,+ FPN + AMFF + CSAF,96.66666666666667,96.66283527589519,3358687,9.105316495620576,3.8956846367447833,4.456778102164942,Y,Y,Y,N,,,,,,
A: modules,Full model (+ SEAM),93.33333333333333,92.9545010297591,3364064,9.711859789984736,3.616887098018964,4.302759874201146,Y,Y,Y,Y,,,,,,
B: fusion attention,No attention (concat+1x1),96.38888888888889,96.32829879359784,3301895,0.9639776935569013,0.16501650165016502,0.3422096444992484,,,,,none,,,,,
B: fusion attention,SE (Hu et al. 2018),100.0,100.0,3314615,6.257052023670562,1.486021794776354,2.513514153340334,,,,,se,,,,,
B: fusion attention,ECA (Wang et al. 2020),99.72222222222223,99.72220293075908,3301910,7.871793485148759,3.7309026267533323,3.893786803189034,,,,,eca,,,,,
B: fusion attention,CBAM (Woo et al. 2018),84.44444444444444,82.88734720179303,3314912,8.569406156848599,2.9770806536506904,3.613412633781653,,,,,cbam,,,,,
B: fusion attention,Coordinate Att. (Hou et al. 2021),92.22222222222223,92.0271010085247,3321287,6.299148758732241,2.0033030872009503,2.6150820186893085,,,,,coordatt,,,,,
B: fusion attention,EMA (Ouyang et al. 2023),99.44444444444444,99.44429008057794,3794951,8.389842193331292,2.5524138223085786,3.4847409024145493,,,,,ema,,,,,
B: fusion attention,AMFF (ours),93.33333333333333,92.9545010297591,3364064,9.711859789984736,3.616887098018964,4.302759874201146,,,,,amff,,,,,
C: dilation,"SEAM 3 branches, NO dilation  (control)",97.77777777777777,97.79865447517099,3364064,9.552871021178655,3.4892457636568253,4.454670856789531,,,,,,"(1, 1, 1)",3.0,N,,
C: dilation,"SEAM 3 branches, dilated      (proposed)",93.33333333333333,92.9545010297591,3364064,9.711859789984736,3.616887098018964,4.302759874201146,,,,,,"(1, 3, 5)",3.0,Y,,
C: dilation,"SEAM 4 branches, NO dilation  (control)",99.72222222222223,99.72220293075908,3365856,8.803733992025,2.8050991912378054,3.7584984894457234,,,,,,"(1, 1, 1, 1)",4.0,N,,
C: dilation,"SEAM 4 branches, dilated",99.72222222222223,99.72220293075908,3365856,8.681226022508596,4.581444995549388,4.607877091444192,,,,,,"(1, 3, 5, 7)",4.0,Y,,
C: dilation (rate sweep),"SEAM rates = (1,)",97.77777777777777,97.78676003095521,3360480,1.6959595345095186,0.6848184818481848,0.8219355608452753,,,,,,"(1,)",1.0,N,,
C: dilation (rate sweep),"SEAM rates = (1, 3)",99.44444444444444,99.44666391146623,3362272,9.000737583620815,3.228323480544531,4.211683056500729,,,,,,"(1, 3)",2.0,Y,,
C: dilation (rate sweep),"SEAM rates = (3, 5, 7)",96.94444444444444,96.93881117970132,3364064,8.477652584895722,3.061987874835013,3.984210170400097,,,,,,"(3, 5, 7)",3.0,Y,,
D: AMFF composition,AMFF attention = channel,100.0,100.0,3314615,6.257052023670562,1.486021794776354,2.513514153340334,,,,,,,,,channel,
D: AMFF composition,AMFF attention = spatial,82.77777777777777,81.84252484670425,3302192,5.828813615009814,1.271883075070008,2.160602705420107,,,,,,,,,spatial,
D: AMFF composition,AMFF attention = both,93.33333333333333,92.9545010297591,3364064,9.711859789984736,3.616887098018964,4.302759874201146,,,,,,,,,both,
E: fusion strategy,FPN + addition,97.22222222222221,97.22099153496927,3297952,5.271745366584397,2.2405466353086925,2.3546698001061963,,,,,,,,,,add
E: fusion strategy,FPN + concatenation,98.05555555555556,98.0638584335399,3363488,6.4019742211598185,1.7206585705804047,2.445999287754385,,,,,,,,,,concat
E: fusion strategy,FPN + fixed learned weights,99.44444444444444,99.44440586151816,3297956,10.089993302759263,3.0943497818861823,4.434828888276074,,,,,,,,,,fixed
E: fusion strategy,FPN + per-sample gating (no cross-scale),96.38888888888889,96.38246917918222,3314912,2.3730889541780713,0.6207763633506207,1.012196503226207,,,,,,,,,,local
E: fusion strategy,FPN + CSAF (ours),93.33333333333333,92.9545010297591,3364064,9.711859789984736,3.616887098018964,4.302759874201146,,,,,,,,,,csaf
