stem,class,split,path,n_boxes
crease__img_01_4402116900_00003,crease,test,C:\Users\anmol\OneDrive\Desktop\MobileNetV2\GC10-DET_PREPARED\IMAGES\crease\crease__img_01_4402116900_00003.jpg,1
crease__img_01_4402117100_00006,crease,test,C:\Users\anmol\OneDrive\Desktop\MobileNetV2\GC10-DET_PREPARED\IMAGES\crease\crease__img_01_4402117100_00006.jpg,1
crease__img_01_4402270500_00003,crease,test,C:\Users\anmol\OneDrive\Desktop\MobileNetV2\GC10-DET_PREPARED\IMAGES\crease\crease__img_01_4402270500_00003.jpg,6
crease__img_01_4402270500_00004,crease,test,C:\Users\anmol\OneDrive\Desktop\MobileNetV2\GC10-DET_PREPARED\IMAGES\crease\crease__img_01_4402270500_00004.jpg,2
crease__img_02_425613700_00758,crease,test,C:\Users\anmol\OneDrive\Desktop\MobileNetV2\GC10-DET_PREPARED\IMAGES\crease\crease__img_02_425613700_00758.jpg,1
crease__img_02_4402116700_00002,crease,test,C:\Users\anmol\OneDrive\Desktop\MobileNetV2\GC10-DET_PREPARED\IMAGES\crease\crease__img_02_4402116700_00002.jpg,1
crease__img_03_4405964900_00010,crease,test,C:\Users\anmol\OneDrive\Desktop\MobileNetV2\GC10-DET_PREPARED\IMAGES\crease\crease__img_03_4405964900_00010.jpg,2
crease__img_05_4402826400_01261,crease,test,C:\Users\anmol\OneDrive\Desktop\MobileNetV2\GC10-DET_PREPARED\IMAGES\crease\crease__img_05_4402826400_01261.jpg,3
crease__img_05_4405381400_00774,crease,test,C:\Users\anmol\OneDrive\Desktop\MobileNetV2\GC10-DET_PREPARED\IMAGES\crease\crease__img_05_4405381400_00774.jpg,1
crease__img_07_4405376700_00809,crease,test,C:\Users\anmol\OneDrive\Desktop\MobileNetV2\GC10-DET_PREPARED\IMAGES\crease\crease__img_07_4405376700_00809.jpg,1
crease__img_07_4405376700_00815,crease,test,C:\Users\anmol\OneDrive\Desktop\MobileNetV2\GC10-DET_PREPARED\IMAGES\crease\crease__img_07_4405376700_00815.jpg,1
crescent_gap__img_01_3402617700_00001,crescent_gap,test,C:\Users\anmol\OneDrive\Desktop\MobileNetV2\GC10-DET_PREPARED\IMAGES\crescent_gap\crescent_gap__img_01_3402617700_00001.jpg,1
crescent_gap__img_01_424826800_00003,crescent_gap,test,C:\Users\anmol\OneDrive\Desktop\MobileNetV2\GC10-DET_PREPARED\IMAGES\crescent_gap\crescent_gap__img_01_424826800_00003.jpg,1
crescent_gap__img_01_425006200_01173,crescent_gap,test,C:\Users\anmol\OneDrive\Desktop\MobileNetV2\GC10-DET_PREPARED\IMAGES\crescent_gap\crescent_gap__img_01_425006200_01173.jpg,1
crescent_gap__img_01_425007600_01072,crescent_gap,test,C:\Users\anmol\OneDrive\Desktop\MobileNetV2\GC10-DET_PREPARED\IMAGES\crescent_gap\crescent_gap__img_01_425007600_01072.jpg,2
crescent_gap__img_01_425502200_00018,crescent_gap,test,C:\Users\anmol\OneDrive\Desktop\MobileNetV2\GC10-DET_PREPARED\IMAGES\crescent_gap\crescent_gap__img_01_425502200_00018.jpg,2
crescent_gap__img_01_425502900_00018,crescent_gap,test,C:\Users\anmol\OneDrive\Desktop\MobileNetV2\GC10-DET_PREPARED\IMAGES\crescent_gap\crescent_gap__img_01_425502900_00018.jpg,1
crescent_gap__img_01_425503000_00018,crescent_gap,test,C:\Users\anmol\OneDrive\Desktop\MobileNetV2\GC10-DET_PREPARED\IMAGES\crescent_gap\crescent_gap__img_01_425503000_00018.jpg,2
crescent_gap__img_01_425616300_00001,crescent_gap,test,C:\Users\anmol\OneDrive\Desktop\MobileNetV2\GC10-DET_PREPARED\IMAGES\crescent_gap\crescent_gap__img_01_425616300_00001.jpg,2
crescent_gap__img_01_425637800_00001,crescent_gap,test,C:\Users\anmol\OneDrive\Desktop\MobileNetV2\GC10-DET_PREPARED\IMAGES\crescent_gap\crescent_gap__img_01_425637800_00001.jpg,3
crescent_gap__img_04_3402618000_00001,crescent_gap,test,C:\Users\anmol\OneDrive\Desktop\MobileNetV2\GC10-DET_PREPARED\IMAGES\crescent_gap\crescent_gap__img_04_3402618000_00001.jpg,1
crescent_gap__img_04_425501700_00018,crescent_gap,test,C:\Users\anmol\OneDrive\Desktop\MobileNetV2\GC10-DET_PREPARED\IMAGES\crescent_gap\crescent_gap__img_04_425501700_00018.jpg,1
crescent_gap__img_04_425501900_00018,crescent_gap,test,C:\Users\anmol\OneDrive\Desktop\MobileNetV2\GC10-DET_PREPARED\IMAGES\crescent_gap\crescent_gap__img_04_425501900_00018.jpg,2
crescent_gap__img_04_425502100_00017,crescent_gap,test,C:\Users\anmol\OneDrive\Desktop\MobileNetV2\GC10-DET_PREPARED\IMAGES\crescent_gap\crescent_gap__img_04_425502100_00017.jpg,1
crescent_gap__img_04_425502600_00017,crescent_gap,test,C:\Users\anmol\OneDrive\Desktop\MobileNetV2\GC10-DET_PREPARED\IMAGES\crescent_gap\crescent_gap__img_04_425502600_00017.jpg,2
crescent_gap__img_04_425502700_00016,crescent_gap,test,C:\Users\anmol\OneDrive\Desktop\MobileNetV2\GC10-DET_PREPARED\IMAGES\crescent_gap\crescent_gap__img_04_425502700_00016.jpg,1
crescent_gap__img_04_425503600_00017,crescent_gap,test,C:\Users\anmol\OneDrive\Desktop\MobileNetV2\GC10-DET_PREPARED\IMAGES\crescent_gap\crescent_gap__img_04_425503600_00017.jpg,2
crescent_gap__img_04_425613500_00001,crescent_gap,test,C:\Users\anmol\OneDrive\Desktop\MobileNetV2\GC10-DET_PREPARED\IMAGES\crescent_gap\crescent_gap__img_04_425613500_00001.jpg,1
crescent_gap__img_04_425622400_00002,crescent_gap,test,C:\Users\anmol\OneDrive\Desktop\MobileNetV2\GC10-DET_PREPARED\IMAGES\crescent_gap\crescent_gap__img_04_425622400_00002.jpg,1
crescent_gap__img_04_425640100_00875,crescent_gap,test,C:\Users\anmol\OneDrive\Desktop\MobileNetV2\GC10-DET_PREPARED\IMAGES\crescent_gap\crescent_gap__img_04_425640100_00875.jpg,2
crescent_gap__img_04_436068600_00001,crescent_gap,test,C:\Users\anmol\OneDrive\Desktop\MobileNetV2\GC10-DET_PREPARED\IMAGES\crescent_gap\crescent_gap__img_04_436068600_00001.jpg,2
crescent_gap__img_05_424798500_01234,crescent_gap,test,C:\Users\anmol\OneDrive\Desktop\MobileNetV2\GC10-DET_PREPARED\IMAGES\crescent_gap\crescent_gap__img_05_424798500_01234.jpg,1
crescent_gap__img_05_424798500_01235,crescent_gap,test,C:\Users\anmol\OneDrive\Desktop\MobileNetV2\GC10-DET_PREPARED\IMAGES\crescent_gap\crescent_gap__img_05_424798500_01235.jpg,1
crescent_gap__img_05_425503800_00052,crescent_gap,test,C:\Users\anmol\OneDrive\Desktop\MobileNetV2\GC10-DET_PREPARED\IMAGES\crescent_gap\crescent_gap__img_05_425503800_00052.jpg,1
crescent_gap__img_05_425503800_00053,crescent_gap,test,C:\Users\anmol\OneDrive\Desktop\MobileNetV2\GC10-DET_PREPARED\IMAGES\crescent_gap\crescent_gap__img_05_425503800_00053.jpg,1
crescent_gap__img_05_425505100_00052,crescent_gap,test,C:\Users\anmol\OneDrive\Desktop\MobileNetV2\GC10-DET_PREPARED\IMAGES\crescent_gap\crescent_gap__img_05_425505100_00052.jpg,1
crescent_gap__img_05_425506100_00052,crescent_gap,test,C:\Users\anmol\OneDrive\Desktop\MobileNetV2\GC10-DET_PREPARED\IMAGES\crescent_gap\crescent_gap__img_05_425506100_00052.jpg,1
crescent_gap__img_05_425622400_00001,crescent_gap,test,C:\Users\anmol\OneDrive\Desktop\MobileNetV2\GC10-DET_PREPARED\IMAGES\crescent_gap\crescent_gap__img_05_425622400_00001.jpg,1
crescent_gap__img_05_425637900_00899,crescent_gap,test,C:\Users\anmol\OneDrive\Desktop\MobileNetV2\GC10-DET_PREPARED\IMAGES\crescent_gap\crescent_gap__img_05_425637900_00899.jpg,2
crescent_gap__img_05_436068100_00002,crescent_gap,test,C:\Users\anmol\OneDrive\Desktop\MobileNetV2\GC10-DET_PREPARED\IMAGES\crescent_gap\crescent_gap__img_05_436068100_00002.jpg,1
crescent_gap__img_05_4406772100_00001,crescent_gap,test,C:\Users\anmol\OneDrive\Desktop\MobileNetV2\GC10-DET_PREPARED\IMAGES\crescent_gap\crescent_gap__img_05_4406772100_00001.jpg,2
