Study,Variant,Accuracy,F1_macro,Params,AP50,AP75,mAP50_95,FPN,AMFF,CSAF,SEAM,Fusion,Rates,Branches,Dilated,Mode,FusionMode
A: modules,Baseline (MobileNetV2),79.82646420824295,71.86724010778363,2423626,2.9830758251469183,0.0282885431400282,0.8801871990477735,N,N,N,N,,,,,,
A: modules,+ FPN,76.13882863340564,59.89924951576416,3196618,2.536172344284612,0.0729546638874413,0.5850289800172815,Y,N,N,N,,,,,,
A: modules,+ FPN + AMFF,76.35574837310195,62.924247968464655,3358627,0.956406172532147,0.1601410141014101,0.2634408972812175,Y,Y,N,N,,,,,,
A: modules,+ FPN + CSAF,75.27114967462039,59.130714285584126,3197194,2.067654506887253,0.0495049504950495,0.7839373480404038,Y,N,Y,N,,,,,,
A: modules,+ FPN + AMFF + CSAF,74.18655097613883,64.099178429461,3359203,3.2044028982730204,0.2124212421242124,0.9575490847404068,Y,Y,Y,N,,,,,,
A: modules,Full model (+ SEAM),76.78958785249458,65.18504023385032,3364580,1.8205203428708243,0.126012601260126,0.5098281121074139,Y,Y,Y,Y,,,,,,
B: fusion attention,No attention (concat+1x1),72.66811279826464,57.33900297428776,3302411,1.57562331624815,0.1997314485546915,0.3537279764075474,,,,,none,,,,,
B: fusion attention,SE (Hu et al. 2018),68.98047722342733,55.213524834847824,3315131,2.6152359350323486,0.7472527472527474,1.002855251904873,,,,,se,,,,,
B: fusion attention,ECA (Wang et al. 2020),78.30802603036877,64.10083178391596,3302426,2.2057878139047573,0.126012601260126,0.581267906232879,,,,,eca,,,,,
B: fusion attention,CBAM (Woo et al. 2018),83.08026030368764,74.94037552127114,3315428,2.007371202931421,0.083784483585754,0.5074494621221493,,,,,cbam,,,,,
B: fusion attention,Coordinate Att. (Hou et al. 2021),81.99566160520607,73.85335891617787,3321803,2.498277335442626,0.2722877052912344,0.7966855604534098,,,,,coordatt,,,,,
B: fusion attention,EMA (Ouyang et al. 2023),81.99566160520607,73.85573880300888,3795467,1.6206955451716198,0.0217402692650217,0.3407052754015223,,,,,ema,,,,,
B: fusion attention,AMFF (ours),76.78958785249458,65.18504023385032,3364580,1.8205203428708243,0.126012601260126,0.5098281121074139,,,,,amff,,,,,
C: dilation,"SEAM 3 branches, NO dilation  (control)",77.22342733188721,65.47786386533136,3364580,2.9535924868448764,0.40203744297206423,1.061975275180541,,,,,,"(1, 1, 1)",3.0,N,,
C: dilation,"SEAM 3 branches, dilated      (proposed)",76.78958785249458,65.18504023385032,3364580,1.8205203428708245,0.126012601260126,0.5098281121074139,,,,,,"(1, 3, 5)",3.0,Y,,
C: dilation,"SEAM 4 branches, NO dilation  (control)",80.6941431670282,69.89220320549613,3366372,0.9765291666261209,0.00942951438000943,0.31461029368424925,,,,,,"(1, 1, 1, 1)",4.0,N,,
C: dilation,"SEAM 4 branches, dilated",72.45119305856834,58.282856931283746,3366372,0.5009076279042805,0.1301131612411616,0.20072974596646553,,,,,,"(1, 3, 5, 7)",4.0,Y,,
C: dilation (rate sweep),"SEAM rates = (1,)",75.70498915401302,61.95128399380477,3360996,0.8066073665264675,0.027256843331391962,0.17401911338298479,,,,,,"(1,)",1.0,N,,
C: dilation (rate sweep),"SEAM rates = (1, 3)",75.27114967462039,61.95916038566186,3362788,0.8613087972435672,0.0,0.16757133699674448,,,,,,"(1, 3)",2.0,Y,,
C: dilation (rate sweep),"SEAM rates = (3, 5, 7)",78.52494577006507,65.77918248862953,3364580,3.2498017355157596,0.62209805886249,0.9692814275718707,,,,,,"(3, 5, 7)",3.0,Y,,
D: AMFF composition,AMFF attention = channel,68.98047722342733,55.213524834847824,3315131,2.6152359350323486,0.7472527472527474,1.002855251904873,,,,,,,,,channel,
D: AMFF composition,AMFF attention = spatial,75.70498915401302,63.22333842079668,3302708,2.907644664123988,0.1056105610561056,0.9090446091028502,,,,,,,,,spatial,
D: AMFF composition,AMFF attention = both,76.78958785249458,65.18504023385032,3364580,1.8205203428708245,0.126012601260126,0.5098281121074139,,,,,,,,,both,
E: fusion strategy,FPN + addition,72.88503253796095,58.487813344239036,3298468,2.8654621464937176,0.10506598312747348,0.7038191860999574,,,,,,,,,,add
E: fusion strategy,FPN + concatenation,75.05422993492408,63.21195656223721,3364004,0.864838279255699,0.2455445544554455,0.28591218408897295,,,,,,,,,,concat
E: fusion strategy,FPN + fixed learned weights,73.7527114967462,63.86220973795085,3298472,2.826411453480077,0.0,0.7251875805459923,,,,,,,,,,fixed
E: fusion strategy,FPN + per-sample gating (no cross-scale),77.65726681127983,62.01334069996579,3315428,3.8496940720456454,0.2581329561527581,1.0784479734673014,,,,,,,,,,local
E: fusion strategy,FPN + CSAF (ours),76.78958785249458,65.18504023385032,3364580,1.8205203428708245,0.126012601260126,0.5098281121074139,,,,,,,,,,csaf
