,P2 (56x56),P3 (28x28),P4 (14x14),P5 (7x7)
Crease,0.25103644,0.23558246,0.24493967,0.26844144
Crescent gap,0.25607055,0.23626362,0.25672558,0.25094026
Inclusion,0.23928103,0.23889396,0.22873764,0.29308745
Oil spot,0.2462636,0.23632896,0.23831491,0.27909255
Punching hole,0.2515557,0.2348184,0.25212324,0.26150268
Rolled pit,0.25021595,0.23772638,0.24080342,0.27125427
Silk spot,0.2326276,0.23377632,0.22008885,0.3135072
Waist folding,0.2394077,0.2355395,0.22939442,0.29565838
Water spot,0.24587071,0.23698103,0.23339358,0.2837546
Welding line,0.2513074,0.23468588,0.25230235,0.26170442
