,precision,recall,f1,support
Punching hole,88.0,50.0,63.76811594202898,44.0
Welding line,57.831325301204814,87.27272727272727,69.56521739130434,55.0
Crescent gap,89.47368421052632,75.55555555555556,81.92771084337349,45.0
Water spot,96.66666666666667,50.877192982456144,66.66666666666666,57.0
Oil spot,59.70149253731343,97.5609756097561,74.07407407407408,41.0
Silk spot,84.31372549019608,99.23076923076923,91.16607773851591,130.0
Inclusion,75.86206896551724,51.162790697674424,61.111111111111114,43.0
Rolled pit,50.0,16.666666666666664,25.0,6.0
Crease,66.66666666666666,18.181818181818183,28.57142857142857,11.0
Waist folding,87.09677419354838,93.10344827586206,90.0,29.0
